"set","mask_variant","cov","density","scene","status","error","f1","precision","recall","fragment_recovery_recovery_rate","adjusted_rand_index","vi_split_bits","vi_merge_bits","vi_total_bits","n_common_fragments","n_gt_groups","n_pred_groups"
"testcmp10","clean","cov30","30","synth_0002","ok","","0.9373650107991361","0.9293361884368309","0.9455337690631809","0.9166666666666666","0.9353772285935099","0.08279524112969366","0.0976969189225125","0.18049216005220617","174","36","36"
"testcmp10","clean","cov30","30","synth_0003","ok","","0.9196581196581196","0.9026845637583892","0.9372822299651568","0.7894736842105263","0.91727574100023","0.10602279341769345","0.14786886033375282","0.2538916537514463","143","38","37"
"testcmp10","clean","cov30","30","synth_0004","ok","","0.85","0.85","0.85","0.8378378378378378","0.8455801104972376","0.19372574650026464","0.17235797719800178","0.3660837236982664","130","37","38"
"testcmp10","clean","cov30","30","synth_0005","ok","","0.8784810126582278","0.8675","0.8897435897435897","0.8285714285714286","0.8742085975848873","0.1710128242846671","0.2003416867280714","0.37135451101273853","153","35","35"
"testcmp10","clean","cov30","30","synth_0006","ok","","0.9465449804432856","0.9428571428571428","0.9502617801047121","0.875","0.9450239507675496","0.09094066471672499","0.10682256932388022","0.1977632340406052","167","40","39"
"testcmp10","clean","cov30","30","synth_0007","ok","","0.8625850340136055","0.8756906077348067","0.8498659517426274","0.8","0.8582203631942092","0.24325956296395804","0.2113041518677729","0.45456371483173097","155","35","35"
"testcmp10","clean","cov30","30","synth_0008","ok","","0.9030390738060781","0.8863636363636364","0.9203539823008849","0.9375","0.8997216497328319","0.14215984863508396","0.16203536011465114","0.3041952087497351","145","32","32"
"testcmp10","clean","cov30","30","synth_0009","ok","","0.9147286821705426","0.9053708439897699","0.9242819843342036","0.9210526315789473","0.9122181160307858","0.11443605554264993","0.1326393135890158","0.24707536913166572","165","38","38"
"testcmp10","clean","cov40","40","synth_0000","ok","","0.8444757213230119","0.8097165991902834","0.8823529411764706","0.864406779661017","0.8413064500699052","0.14293931474299826","0.2155489961418415","0.3584883108848398","267","59","57"
"testcmp10","clean","cov40","40","synth_0001","ok","","0.8652931854199684","0.883495145631068","0.8478260869565217","0.875","0.8623893560375414","0.2234189827819737","0.17903313967210951","0.40245212245408324","245","48","50"
